Unnamed: 0,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
107,MARUTI,MARUTI,2815745,13753.0,MARUTI25MAYFUT,14705154,13866.04,13852.17,13879.91,MARUTI25JUNFUT,14606082,13979.08,13965.1,13993.06,MARUTI25JULFUT,13666050,14092.12,14078.03,14106.21,13739.25,13766.75
108,MAXHEALTH,MAXHEALTH,5728513,1122.9,MAXHEALTH25MAYFUT,14705410,1132.13,1131.0,1133.26,MAXHEALTH25JUNFUT,14606338,1141.36,1140.22,1142.5,MAXHEALTH25JULFUT,13666306,1150.59,1149.44,1151.74,1121.78,1124.02
109,MFSL,MFSL,548353,1619.0,MFSL25MAYFUT,14705922,1632.31,1630.68,1633.94,MFSL25JUNFUT,14606850,1645.61,1643.96,1647.26,MFSL25JULFUT,13666818,1658.92,1657.26,1660.58,1617.38,1620.62
110,MOTHERSON,MOTHERSON,1076225,151.85,MOTHERSON25MAYFUT,14706434,153.1,152.95,153.25,MOTHERSON25JUNFUT,14607362,154.35,154.2,154.5,MOTHERSON25JULFUT,13667330,155.59,155.43,155.75,151.7,152.0
111,MPHASIS,MPHASIS,1152769,2264.9,MPHASIS25MAYFUT,14707202,2283.52,2281.24,2285.8,MPHASIS25JUNFUT,14607618,2302.13,2299.83,2304.43,MPHASIS25JULFUT,13667586,2320.75,2318.43,2323.07,2262.64,2267.16
112,MUTHOOTFIN,MUTHOOTFIN,6054401,3023.7,MUTHOOTFIN25MAYFUT,14710274,3048.55,3045.5,3051.6,MUTHOOTFIN25JUNFUT,14607874,3073.4,3070.33,3076.47,MUTHOOTFIN25JULFUT,13667842,3098.26,3095.16,3101.36,3020.68,3026.72
113,NATIONALUM,NATIONALUM,1629185,333.0,NATIONALUM25MAYFUT,14710530,335.74,335.4,336.08,NATIONALUM25JUNFUT,14608130,338.47,338.13,338.81,NATIONALUM25JULFUT,13668098,341.21,340.87,341.55,332.67,333.33
114,NAUKRI,NAUKRI,3520257,980.0,NAUKRI25MAYFUT,14711298,988.05,987.06,989.04,NAUKRI25JUNFUT,14608386,996.11,995.11,997.11,NAUKRI25JULFUT,13668354,1004.16,1003.16,1005.16,979.02,980.98
115,NESTLEIND,NESTLEIND,4598529,1409.8,NESTLEIND25MAYFUT,14712066,1421.39,1419.97,1422.81,NESTLEIND25JUNFUT,14609154,1432.97,1431.54,1434.4,NESTLEIND25JULFUT,13669122,1444.56,1443.12,1446.0,1408.39,1411.21
116,NHPC,NHPC,4454401,79.2,NHPC25MAYFUT,14712834,79.85,79.77,79.93,NHPC25JUNFUT,14609410,80.5,80.42,80.58,NHPC25JULFUT,13669378,81.15,81.07,81.23,79.12,79.28
117,NMDC,NMDC,3924993,84.74,NMDC25MAYFUT,14713090,85.44,85.35,85.53,NMDC25JUNFUT,14609666,86.13,86.04,86.22,NMDC25JULFUT,13669634,86.83,86.74,86.92,84.66,84.82
118,NTPC,NTPC,2977281,352.5,NTPC25MAYFUT,14713346,355.4,355.04,355.76,NTPC25JUNFUT,14609922,358.29,357.93,358.65,NTPC25JULFUT,13669890,361.19,360.83,361.55,352.15,352.85
119,NYKAA,NYKAA,1675521,301.0,NYKAA25MAYFUT,14713602,303.47,303.17,303.77,NYKAA25JUNFUT,14610178,305.95,305.64,306.26,NYKAA25JULFUT,13670146,308.42,308.11,308.73,300.7,301.3
120,OBEROIRLTY,OBEROIRLTY,5181953,1760.0,OBEROIRLTY25MAYFUT,14713858,1774.47,1772.7,1776.24,OBEROIRLTY25JUNFUT,14610434,1788.93,1787.14,1790.72,OBEROIRLTY25JULFUT,13670914,1803.4,1801.6,1805.2,1758.24,1761.76
121,OFSS,OFSS,2748929,10955.0,OFSS25MAYFUT,14714114,11045.04,11033.99,11056.09,OFSS25JUNFUT,14610690,11135.08,11123.94,11146.22,OFSS25JULFUT,13671170,11225.12,11213.89,11236.35,10944.05,10965.95
122,OIL,OIL,4464129,405.95,OIL25MAYFUT,14714370,409.29,408.88,409.7,OIL25JUNFUT,14610946,412.62,412.21,413.03,OIL25JULFUT,13671426,415.96,415.54,416.38,405.54,406.36
123,ONGC,ONGC,633601,233.15,ONGC25MAYFUT,14714626,235.07,234.83,235.31,ONGC25JUNFUT,14611202,236.98,236.74,237.22,ONGC25JULFUT,13671682,238.9,238.66,239.14,232.92,233.38
124,PAGEIND,PAGEIND,3689729,40975.0,PAGEIND25MAYFUT,14714882,41311.78,41270.47,41353.09,PAGEIND25JUNFUT,14611714,41648.56,41606.91,41690.21,PAGEIND25JULFUT,13671938,41985.34,41943.35,42027.33,40934.03,41015.97
125,PATANJALI,PATANJALI,4359425,410.1,PATANJALI25MAYFUT,14716162,413.47,413.06,413.88,PATANJALI25JUNFUT,14612226,416.84,416.42,417.26,PATANJALI25JULFUT,13672194,420.21,419.79,420.63,409.69,410.51
126,PAYTM,PAYTM,1716481,1122.7,PAYTM25MAYFUT,14716418,1131.93,1130.8,1133.06,PAYTM25JUNFUT,14612482,1141.16,1140.02,1142.3,PAYTM25JULFUT,13672450,1150.38,1149.23,1151.53,1121.58,1123.82
127,PERSISTENT,PERSISTENT,4701441,4846.5,PERSISTENT25MAYFUT,14716930,4886.33,4881.44,4891.22,PERSISTENT25JUNFUT,14612994,4926.17,4921.24,4931.1,PERSISTENT25JULFUT,13673730,4966.0,4961.03,4970.97,4841.65,4851.35
128,PETRONET,PETRONET,2905857,282.0,PETRONET25MAYFUT,14717186,284.32,284.04,284.6,PETRONET25JUNFUT,14613250,286.64,286.35,286.93,PETRONET25JULFUT,13673986,288.95,288.66,289.24,281.72,282.28
129,PFC,PFC,3660545,433.4,PFC25MAYFUT,14717954,436.96,436.52,437.4,PFC25JUNFUT,14613506,440.52,440.08,440.96,PFC25JULFUT,13674242,444.09,443.65,444.53,432.97,433.83
130,PHOENIXLTD,PHOENIXLTD,3725313,1905.8,PHOENIXLTD25MAYFUT,14718210,1921.46,1919.54,1923.38,PHOENIXLTD25JUNFUT,14613762,1937.13,1935.19,1939.07,PHOENIXLTD25JULFUT,13674498,1952.79,1950.84,1954.74,1903.89,1907.71
131,PIDILITIND,PIDILITIND,681985,1595.8,PIDILITIND25MAYFUT,14718466,1608.92,1607.31,1610.53,PIDILITIND25JUNFUT,14614018,1622.03,1620.41,1623.65,PIDILITIND25JULFUT,13675010,1635.15,1633.51,1636.79,1594.2,1597.4
132,PIIND,PIIND,6191105,2679.9,PIIND25MAYFUT,14718722,2701.93,2699.23,2704.63,PIIND25JUNFUT,14614274,2723.95,2721.23,2726.67,PIIND25JULFUT,13675266,2745.98,2743.23,2748.73,2677.22,2682.58
133,PNB,PNB,2730497,107.91,PNB25MAYFUT,14718978,108.8,108.69,108.91,PNB25JUNFUT,14614530,109.68,109.57,109.79,PNB25JULFUT,13675522,110.57,110.46,110.68,107.8,108.02
134,POLICYBZR,POLICYBZR,1703937,1611.8,POLICYBZR25MAYFUT,14719234,1625.05,1623.42,1626.68,POLICYBZR25JUNFUT,14615554,1638.3,1636.66,1639.94,POLICYBZR25JULFUT,13676034,1651.54,1649.89,1653.19,1610.19,1613.41
135,POLYCAB,POLYCAB,2455041,9555.0,POLYCAB25MAYFUT,14719490,9633.53,9623.9,9643.16,POLYCAB25JUNFUT,14615810,9712.07,9702.36,9721.78,POLYCAB25JULFUT,13676290,9790.6,9780.81,9800.39,9545.44,9564.55
136,POWERGRID,POWERGRID,3834113,284.5,POWERGRID25MAYFUT,14720514,286.84,286.55,287.13,POWERGRID25JUNFUT,14616322,289.18,288.89,289.47,POWERGRID25JULFUT,13676802,291.52,291.23,291.81,284.22,284.78
137,PRESTIGE,PRESTIGE,5197313,1558.0,PRESTIGE25MAYFUT,14720770,1570.81,1569.24,1572.38,PRESTIGE25JUNFUT,14617602,1583.61,1582.03,1585.19,PRESTIGE25JULFUT,13677058,1596.42,1594.82,1598.02,1556.44,1559.56
138,RECLTD,RECLTD,3930881,364.4,RECLTD25MAYFUT,14721538,367.4,367.03,367.77,RECLTD25JUNFUT,14618626,370.39,370.02,370.76,RECLTD25JULFUT,13677570,373.39,373.02,373.76,364.04,364.76
139,RELIANCE,RELIANCE,738561,1316.5,RELIANCE25MAYFUT,14721794,1327.32,1325.99,1328.65,RELIANCE25JUNFUT,14618882,1338.14,1336.8,1339.48,RELIANCE25JULFUT,13677826,1348.96,1347.61,1350.31,1315.18,1317.82
140,SAIL,SAIL,758529,170.29,SAIL25MAYFUT,14723074,171.69,171.52,171.86,SAIL25JUNFUT,14620162,173.09,172.92,173.26,SAIL25JULFUT,13678082,174.49,174.32,174.66,170.12,170.46
141,SBICARD,SBICARD,4600577,624.6,SBICARD25MAYFUT,14723330,629.73,629.1,630.36,SBICARD25JUNFUT,14620418,634.87,634.24,635.5,SBICARD25JULFUT,13678338,640.0,639.36,640.64,623.98,625.22
142,SBILIFE,SBILIFE,5582849,1742.0,SBILIFE25MAYFUT,14723586,1756.32,1754.56,1758.08,SBILIFE25JUNFUT,14620674,1770.64,1768.87,1772.41,SBILIFE25JULFUT,13678594,1784.95,1783.17,1786.73,1740.26,1743.74
143,SBIN,SBIN,779521,1045.2,SBIN25MAYFUT,14723842,1053.79,1052.74,1054.84,SBIN25JUNFUT,14620930,1062.38,1061.32,1063.44,SBIN25JULFUT,13678850,1070.97,1069.9,1072.04,1044.15,1046.25
144,SHREECEM,SHREECEM,794369,25765.0,SHREECEM25MAYFUT,14724098,25976.77,25950.79,26002.75,SHREECEM25JUNFUT,14621186,26188.53,26162.34,26214.72,SHREECEM25JULFUT,13679106,26400.3,26373.9,26426.7,25739.24,25790.76
145,SHRIRAMFIN,SHRIRAMFIN,1102337,1030.8,SHRIRAMFIN25MAYFUT,14724354,1039.27,1038.23,1040.31,SHRIRAMFIN25JUNFUT,14621442,1047.74,1046.69,1048.79,SHRIRAMFIN25JULFUT,13679362,1056.22,1055.16,1057.28,1029.77,1031.83
146,SIEMENS,SIEMENS,806401,3633.0,SIEMENS25MAYFUT,14724610,3662.86,3659.2,3666.52,SIEMENS25JUNFUT,14622722,3692.72,3689.03,3696.41,SIEMENS25JULFUT,13679618,3722.58,3718.86,3726.3,3629.37,3636.63
147,SJVN,SJVN,4834049,72.18,SJVN25MAYFUT,14724866,72.77,72.7,72.84,SJVN25JUNFUT,14622978,73.37,73.3,73.44,SJVN25JULFUT,13679874,73.96,73.89,74.03,72.11,72.25
148,SOLARINDS,SOLARINDS,3412993,17431.0,SOLARINDS25MAYFUT,14725122,17574.27,17556.7,17591.84,SOLARINDS25JUNFUT,14623234,17717.54,17699.82,17735.26,SOLARINDS25JULFUT,13680130,17860.81,17842.95,17878.67,17413.57,17448.43
149,SONACOMS,SONACOMS,1199105,619.4,SONACOMS25MAYFUT,14725378,624.49,623.87,625.11,SONACOMS25JUNFUT,14623490,629.58,628.95,630.21,SONACOMS25JULFUT,13680386,634.67,634.04,635.3,618.78,620.02
150,SRF,SRF,837889,2732.0,SRF25MAYFUT,14725634,2754.45,2751.7,2757.2,SRF25JUNFUT,14624770,2776.91,2774.13,2779.69,SRF25JULFUT,13680642,2799.36,2796.56,2802.16,2729.27,2734.73
151,SUNPHARMA,SUNPHARMA,857857,1861.5,SUNPHARMA25MAYFUT,14725890,1876.8,1874.92,1878.68,SUNPHARMA25JUNFUT,14625026,1892.1,1890.21,1893.99,SUNPHARMA25JULFUT,13680898,1907.4,1905.49,1909.31,1859.64,1863.36
152,SUPREMEIND,SUPREMEIND,860929,3423.7,SUPREMEIND25MAYFUT,14726146,3451.84,3448.39,3455.29,SUPREMEIND25JUNFUT,14643202,3479.98,3476.5,3483.46,SUPREMEIND25JULFUT,13681154,3508.12,3504.61,3511.63,3420.28,3427.12
153,TATACOMM,TATACOMM,952577,1994.5,TATACOMM25MAYFUT,14726914,2010.89,2008.88,2012.9,TATACOMM25JUNFUT,14649090,2027.29,2025.26,2029.32,TATACOMM25JULFUT,13682946,2043.68,2041.64,2045.72,1992.51,1996.49
154,TATACONSUM,TATACONSUM,878593,1131.5,TATACONSUM25MAYFUT,14727682,1140.8,1139.66,1141.94,TATACONSUM25JUNFUT,14649346,1150.1,1148.95,1151.25,TATACONSUM25JULFUT,13683202,1159.4,1158.24,1160.56,1130.37,1132.63
155,TATAELXSI,TATAELXSI,873217,4029.6,TATAELXSI25MAYFUT,14727938,4062.72,4058.66,4066.78,TATAELXSI25JUNFUT,14649602,4095.84,4091.74,4099.94,TATAELXSI25JULFUT,13683458,4128.96,4124.83,4133.09,4025.57,4033.63
156,TATAMOTORS,TATAMOTORS,884737,654.15,TATAMOTORS25MAYFUT,14728194,657.75,0.0,0.0,TATAMOTORS25JUNFUT,14652930,659.3,0.0,0.0,TATAMOTORS25JULFUT,13683714,663.25,0.0,0.0,0.0,0.0
157,TATAPOWER,TATAPOWER,877057,388.55,TATAPOWER25MAYFUT,14728450,391.74,391.35,392.13,TATAPOWER25JUNFUT,14653186,394.94,394.55,395.33,TATAPOWER25JULFUT,13683970,398.13,397.73,398.53,388.16,388.94
158,TATASTEEL,TATASTEEL,895745,188.6,TATASTEEL25MAYFUT,14728706,190.15,189.96,190.34,TATASTEEL25JUNFUT,14655490,191.7,191.51,191.89,TATASTEEL25JULFUT,13684226,193.25,193.06,193.44,188.41,188.79
159,TATATECH,TATATECH,5195009,744.0,TATATECH25MAYFUT,14729474,750.12,749.37,750.87,TATATECH25JUNFUT,14655746,756.23,755.47,756.99,TATATECH25JULFUT,13684482,762.35,761.59,763.11,743.26,744.74
160,TCS,TCS,2953217,2095.9,TCS25MAYFUT,14729730,2113.13,2111.02,2115.24,TCS25JUNFUT,14656002,2130.35,2128.22,2132.48,TCS25JULFUT,13685762,2147.58,2145.43,2149.73,2093.8,2098.0
161,TECHM,TECHM,3465729,1439.7,TECHM25MAYFUT,14729986,1451.53,1450.08,1452.98,TECHM25JUNFUT,14656258,1463.37,1461.91,1464.83,TECHM25JULFUT,13686018,1475.2,1473.72,1476.68,1438.26,1441.14
162,TIINDIA,TIINDIA,79873,3060.0,TIINDIA25MAYFUT,14730242,3085.15,3082.06,3088.24,TIINDIA25JUNFUT,14656514,3110.3,3107.19,3113.41,TIINDIA25JULFUT,13686786,3135.45,3132.31,3138.59,3056.94,3063.06
163,TITAN,TITAN,897537,4290.0,TITAN25MAYFUT,14731778,4325.26,4320.93,4329.59,TITAN25JUNFUT,14657026,4360.52,4356.16,4364.88,TITAN25JULFUT,13687298,4395.78,4391.38,4400.18,4285.71,4294.29
164,TORNTPHARM,TORNTPHARM,900609,4519.8,TORNTPHARM25MAYFUT,14732034,4556.95,4552.39,4561.51,TORNTPHARM25JUNFUT,14657282,4594.1,4589.51,4598.69,TORNTPHARM25JULFUT,13687554,4631.25,4626.62,4635.88,4515.28,4524.32
165,TORNTPOWER,TORNTPOWER,3529217,1413.7,TORNTPOWER25MAYFUT,14733314,1425.32,1423.89,1426.75,TORNTPOWER25JUNFUT,14657538,1436.94,1435.5,1438.38,TORNTPOWER25JULFUT,13687810,1448.56,1447.11,1450.01,1412.29,1415.11
166,TRENT,TRENT,502785,3214.4,TRENT25MAYFUT,14733570,3240.82,3237.58,3244.06,TRENT25JUNFUT,14657794,3267.24,3263.97,3270.51,TRENT25JULFUT,13688066,3293.66,3290.37,3296.95,3211.19,3217.61
167,TVSMOTOR,TVSMOTOR,2170625,3578.0,TVSMOTOR25MAYFUT,14733826,3607.41,3603.8,3611.02,TVSMOTOR25JUNFUT,14658050,3636.82,3633.18,3640.46,TVSMOTOR25JULFUT,13688322,3666.22,3662.55,3669.89,3574.42,3581.58
168,ULTRACEMCO,ULTRACEMCO,2952193,11455.0,ULTRACEMCO25MAYFUT,14734082,11549.15,11537.6,11560.7,ULTRACEMCO25JUNFUT,14658818,11643.3,11631.66,11654.94,ULTRACEMCO25JULFUT,13688578,11737.45,11725.71,11749.19,11443.55,11466.45
169,UNIONBANK,UNIONBANK,2752769,174.56,UNIONBANK25MAYFUT,14734338,175.99,175.81,176.17,UNIONBANK25JUNFUT,14659074,177.43,177.25,177.61,UNIONBANK25JULFUT,13688834,178.86,178.68,179.04,174.39,174.73
170,UNITDSPR,UNITDSPR,2674433,1385.9,UNITDSPR25MAYFUT,14734594,1397.29,1395.89,1398.69,UNITDSPR25JUNFUT,14659330,1408.68,1407.27,1410.09,UNITDSPR25JULFUT,13689090,1420.07,1418.65,1421.49,1384.51,1387.29
171,UPL,UPL,2889473,589.0,UPL25MAYFUT,14734850,593.84,593.25,594.43,UPL25JUNFUT,14659586,598.68,598.08,599.28,UPL25JULFUT,13689346,603.52,602.92,604.12,588.41,589.59
172,VBL,VBL,4843777,507.1,VBL25MAYFUT,14735106,511.27,510.76,511.78,VBL25JUNFUT,14661890,515.44,514.92,515.96,VBL25JULFUT,13689602,519.6,519.08,520.12,506.59,507.61
173,VEDL,VEDL,784129,273.4,VEDL25MAYFUT,14735362,275.65,275.37,275.93,VEDL25JUNFUT,14662146,277.89,277.61,278.17,VEDL25JULFUT,13690370,280.14,279.86,280.42,273.13,273.67
174,VOLTAS,VOLTAS,951809,1303.2,VOLTAS25MAYFUT,14735618,1313.91,1312.6,1315.22,VOLTAS25JUNFUT,14662402,1324.62,1323.3,1325.94,VOLTAS25JULFUT,13690626,1335.33,1333.99,1336.67,1301.9,1304.5
175,WIPRO,WIPRO,969473,175.09,WIPRO25MAYFUT,14735874,176.53,176.35,176.71,WIPRO25JUNFUT,14662658,177.97,177.79,178.15,WIPRO25JULFUT,13690882,179.41,179.23,179.59,174.91,175.27
176,YESBANK,YESBANK,3050241,24.8,YESBANK25MAYFUT,14736130,25.0,24.98,25.02,YESBANK25JUNFUT,14662914,25.21,25.18,25.24,YESBANK25JULFUT,13691138,25.41,25.38,25.44,24.78,24.82
177,ZYDUSLIFE,ZYDUSLIFE,2029825,1102.0,ZYDUSLIFE25MAYFUT,14736642,1111.06,1109.95,1112.17,ZYDUSLIFE25JUNFUT,14664450,1120.12,1119.0,1121.24,ZYDUSLIFE25JULFUT,13691906,1129.17,1128.04,1130.3,1100.9,1103.1
178,WIPRO,14662658,14662658,240.3,240.2,240,0.0,14735874.0,240.9,240.75,240,0.0,14662658.0,240.3,240.2,240,0.0,0.0,0.0,0.0,0.0
179,YESBANK,14662914,14662914,17.95,17.97,17,0.0,14736130.0,17.86,17.85,17,0.0,14662914.0,17.95,17.97,17,0.0,0.0,0.0,0.0,0.0
180,ZYDUSLIFE,14664450,14664450,867.0,866.45,868,0.0,14736642.0,861.7,861.25,862,0.0,14664450.0,867.0,866.45,868,0.0,0.0,0.0,0.0,0.0
